"file","discipline"
"RJ-RJA-389-INT-BAS-B237-A-000-BLO-BIMBL1.nwc","Arquitetura"
"RJ-RJA-389-INT-HID-B237-A-001-BLO-MODBL01.nwc","Hidrossanitário"
"RJ-RJA-389-INT-GAS-B237-A-000-BLO-BIMBL01.nwc","Gás"
"RJ-RJA-389-INT-INC-B237-A-000-BLO-BIMBL01.nwc","Incêndio"
"RJ-RJA-389-INT-ELE-B237-A-001-BLO-MODBL01.nwc","Elétrico"
"RJ-RJA-389-INT-EEN-B237-A-000-BLO-BIMBL01.nwc","Entrada Energia"
"RJ-RJA-389-INT-VDI-B237-A-001-BLO-MODBL01.nwc","Voz e Dados"
"RJ-RJA-389-INT-SDI-B237-A-000-BLO-BIMBL01.nwc","Alarme Incêndio"
"RJ-RJA-389-INT-FUND-B237-A-000-BLO-BIMBL001.nwc","Fundação"
"RJ-RJA-389-INT-CON-I001-I-001-IMP-BIMCON.nwc","Contenção"
"RJ-RJA-389-INT-AGU-B237-A-000-IMP-BIMIMP.nwc","Rede de Água"
"RJ-RJA-389-INT-ESG-B237-A-000-IMP-BIMIMP.nwc","Rede de Esgoto"
"RJ-RJA-389-INT-REU-B237-A-000-IMP-BIMIMP.nwc","Rede de Reúso"
"RJ-RJA-389-INT-EEN-B237-A-000-IMP-BIMIMP.nwc","Rede de Entrada de Energia"
"RJ-RJA-389-INT-RED-I001-0-000-IMP-PLAIMP.nwc","Rede de Comunicação"
"RJ-RJA-389-INT-GAS-B237-A-000-IMP-BIMIMP.nwc","Rede de Gás"
"RJ-RJA-389-INT-INC-B237-A-000-IMP-BIMIMP.nwc","Rede de Incêndio"
"RJ-RJA-389-INT-PAV-I001-0-000-IMP-BIMPAV-R02.nwc","Pavimentação"
"RJ-RJA-389-INT-DRE-B237-A-000-IMP-BIMIMP.nwc","Rede de Drenagem"
